Language,Project,Special_Project,Files,Tokens,Lines,Functions,Classes,Total_Imports,Standard_Imports,Cross_File_Imports,Intra_File_Dependencies
C,camgunz_cmp,No,15,96278,10244,307,10,63,41,22,5899
C,CCareaga_heap_allocator,No,10,7667,873,50,2,32,20,12,341
C,bagder_spindly,No,70,39196,4257,106,23,279,76,203,883
C,ggreer_fsevents-tools,No,4,4698,429,10,0,26,12,14,186
C,jtheoof_swappy,No,26,23750,2665,143,15,92,23,69,1146
C,tronkko_dirent,No,26,19584,2669,89,2,132,102,30,665
C,agile6v_awesome-nginx,No,3,297,36,3,0,5,5,0,13
C,clibs_list,No,8,9609,1281,63,2,22,14,8,813
C,ysbaddaden_gc,No,58,45030,4789,197,27,176,53,123,2201
C,argtable_argtable3,No,51,173012,14412,432,45,171,87,84,5041
C,dsprenkels_randombytes,No,5,5759,627,29,0,19,12,7,230
C,josephg_librope,No,12,19761,1950,75,5,53,36,17,698
C,del-xiong_screw-plus,No,16,32921,2276,41,0,55,25,30,929
C,alcover_stricks,No,15,29845,3156,100,0,76,52,24,1321
C,ilyakurdyukov_jpeg-quantsmooth,No,15,81013,5710,50,2,90,45,45,3396
C,Helius_microrl,No,9,6803,748,27,0,28,13,15,224
C,0x09_hfsfuse,No,5,22059,2007,77,6,35,17,18,595
C,martinezjavier_ldd3,No,4,581,64,5,0,7,4,3,48
C,paulocode_picostation,No,45,1653406,26327,135,4,171,71,100,2345
C,ilyakurdyukov_ioccc,No,38,17161,1174,41,0,78,63,15,546
C,remote-android_redroid-modules,No,48,190457,22322,552,129,389,16,373,5731
C,cgaebel_pipe,No,10,20589,2305,57,13,52,26,26,736
C,mozillazg_cloud-native-security-with-ebpf,No,4,754,94,11,0,5,3,2,72
C,cdown_psi-notify,No,6,3392,358,42,5,31,26,5,273
C,jasonwhite_ducible,No,26,71259,5947,347,581,47,30,17,401
C,fulldecent_system-bus-radio,No,10,3034,337,15,1,28,18,10,159
C,skeeto_optparse,No,10,10621,1318,58,4,35,25,10,295
C,fast-pack_simdcomp,No,25,1257301,91588,563,0,82,35,47,85179
C,akemin-dayo_AppSync,No,8,14614,1179,28,24,43,19,24,356
C,orangetw_tsh,No,13,30454,2458,32,3,60,18,42,1144
C,cesanta_frozen,No,5,32604,2984,116,13,30,25,5,986
C,neoeno_toy-c-project-template,No,5,406,53,8,0,9,5,4,38
C,jaybosamiya_true-random,No,7,857,104,6,0,15,7,8,23
C,jalvesaq_colorout,No,3,10087,988,28,2,15,9,6,271
C,baidu_dperf,No,81,110770,12464,521,57,422,69,353,2699
C,begeekmyfriend_bplustree,No,7,9914,935,13,0,19,13,6,530
C,kokke_tiny-AES-c,No,7,22503,1209,49,1,22,16,6,339
C,nihui_ruapu,No,15,16236,1209,32,1,35,14,21,792
C,jart_morton,No,8,5209,482,28,1,21,11,10,237
C,skeeto_bmp,No,6,4271,408,15,0,16,11,5,148
C,skeeto_branchless-utf8,No,8,9663,717,25,0,25,15,10,166
C,rxi_vec,No,6,9939,989,39,0,19,14,5,657
C,dstogov_php-extension,No,3,1737,212,1,0,3,0,3,79
C,AndersKaloer_Ring-Buffer,No,6,4405,473,20,2,17,11,6,227
C,cloudwu_luaprofiler,No,2,1318,157,9,2,8,3,5,54
C,jadahl_gnome-monitor-config,No,9,8579,1078,24,4,32,15,17,272
C,PetteriAimonen_libfixmath,No,41,452684,15791,103,0,110,47,63,1089
C,libav_c99-to-c89,No,4,546,68,5,0,7,5,2,58
C,gurugio_book_cprogramming,No,103,26644,3836,188,34,292,112,180,786
C,benhoyt_inih,No,16,10569,1204,71,0,73,47,26,269
C,wooorm_levenshtein.c,No,5,3517,251,6,0,15,11,4,143
C,antirez_lua-cmsgpack,No,1,9167,867,34,4,7,5,2,269
C,datenwolf_linmath.h,No,5,11675,957,73,0,16,12,4,401
C,mflatt_gc-demo,No,27,7183,899,60,6,83,29,54,259
C,hcs64_vgm_ripping,No,4,462,55,8,0,7,4,3,44
C,aspone_OrderBook,No,17,10446,1246,57,3,70,31,39,536
C,cesanta_slre,No,5,12390,796,23,4,15,11,4,526
C,agentzh_chunkin-nginx-module,No,13,25904,2972,26,4,33,10,23,353
C,dbro_csvquote,No,2,1599,167,2,0,8,6,2,35
C,adafruit_Adafruit_Python_DHT,No,25,14861,1345,40,0,73,34,39,188
C,Cloudef_orbment,No,34,40315,4571,262,21,172,46,126,1668
C,jwasham_practice-c,No,66,33673,3861,230,21,136,96,40,1844
C,Fourmilab_ent_random_sequence_tester,No,12,7876,744,33,0,35,26,9,248
C,quadprog_quadprog,No,9,341300,27998,262,12,36,16,20,9052
C,mbuesch_razer,No,54,123769,13716,563,124,223,115,108,2612
C,muellerberndt_frida-detection,No,4,1006,123,15,0,10,8,2,71
C,curl_trurl,No,2,16904,2012,52,4,10,7,3,476
C,rvrsh3ll_BOF_Collection,No,16,9757,900,42,3,48,26,22,393
C,storpipfugl_pykdtree,No,2,233359,18835,227,14,34,12,22,6497
C,JLErvin_berry,No,10,26068,2894,124,12,53,23,30,837
C,codeplea_tinyexpr,No,13,18274,1873,75,6,47,29,18,818
C,orangeduck_mpc,No,22,57796,5131,145,6,47,21,26,2588
C,danmar_simplecpp,Yes,3,662,81,5,0,10,8,2,53
C,antirez_aocla,No,5,775,87,5,0,16,15,1,13
C,Jeija_esp8266-smartwatch,No,101,137747,10281,113,66,330,53,277,2987
C,cofyc_argparse,No,6,6923,837,40,6,25,20,5,194
C,containers_quadlet,No,17,32262,3506,102,4,58,13,45,1313
C,krakjoe_pcov,No,15,40533,4049,83,42,35,0,35,1120
C,analang_como-lang-ng,No,50,99726,10572,169,52,206,99,107,2803
C,cloudwu_coroutine,No,5,3314,424,35,5,21,15,6,195
C,cloudwu_rudp,No,5,7244,845,33,6,18,12,6,216
C,antirez_smaz,No,5,5601,410,6,0,13,10,3,53
C,tinycthread_tinycthread,No,10,17901,2224,87,6,50,29,21,567
C,dfu-programmer_dfu-programmer,No,22,71893,6635,57,21,120,61,59,1058
C,vlang_gitly,No,573,4875949,407186,5872,1105,2694,448,2246,97699
C,mrexodia_dumpulator,No,3,688,87,14,0,4,4,0,86
C,nerscadmin_IPM,No,2,462,50,4,0,4,4,0,16
C,keirf_amiga-stuff,No,36,103794,9973,247,39,74,30,44,2114
C,intere_hacking,No,93,38743,3585,183,6,259,166,93,897
C,starwing_luautf8,No,8,208613,11431,108,16,55,31,24,977
C,unix-thrust_beurk,No,67,26860,2692,87,3,238,61,177,962
C,Broadroad_map,No,7,9543,1209,44,8,22,15,7,363
C,Wirtos_async2.h,No,10,4064,502,26,4,25,18,7,257
C,mkirchner_linked-list-good-taste,No,5,3051,315,19,4,10,5,5,116
C,labapart_gattlib,No,119,323182,36905,1616,670,595,186,409,8619
C,jobtalle_pool,No,6,2755,333,21,2,21,16,5,113
C,alco_psdump,No,3,290,46,10,0,4,4,0,29
C,cloudwu_buddy,No,6,3387,452,31,1,16,11,5,189
C,caisah_Sedgewick-algorithms-in-c-exercises-and-examples,No,651,109870,17765,1054,256,1369,802,567,4749
C,xiahouzuoxin_fft,No,15,8071,686,48,2,57,39,18,184
C,Esonhugh_sshd_backdoor,No,11,5612,559,19,2,40,15,25,122
C,yonghwankim-dev_OperatingSystem_Study,No,38,17538,2100,59,0,131,60,71,899
C,pfalcon_uzlib,No,20,18542,1825,43,2,57,36,21,287
C,WaterJuice_WjCryptLib,No,22,38326,3103,35,0,102,74,28,614
C,wuwenbin_buddy2,No,4,3476,378,20,1,13,11,2,189
C,lsalzman_enet,No,4,666,68,6,0,8,5,3,58
C,crozone_SpectrePoC,No,3,964,116,10,0,9,9,0,25
C,soveran_map,No,1,451,50,1,0,2,2,0,5
